,,Player,Team,Position
1997-98,SECOND TEAM,Rod Strickland, Washington Wizards,G
1997-98,THIRD TEAM,Scottie Pippen, Chicago Bulls,F
1997-98,THIRD TEAM,Glen Rice, Charlotte Hornets,F
1997-98,THIRD TEAM,Dikembe Mutombo, Atlanta Hawks,C
1997-98,THIRD TEAM,Reggie Miller, Indiana Pacers,G
1997-98,THIRD TEAM,Mitch Richmond, Sacramento Kings,G
1996-97,FIRST TEAM,Grant Hill, Detroit Pistons,F
1996-97,FIRST TEAM,Karl Malone, Utah Jazz,F
1996-97,FIRST TEAM,Hakeem Olajuwon, Houston Rockets,C
1996-97,FIRST TEAM,Michael Jordan, Chicago Bulls,G
1996-97,FIRST TEAM,Tim Hardaway, Miami Heat,G
1996-97,SECOND TEAM,Scottie Pippen, Chicago Bulls,F
1996-97,SECOND TEAM,Glen Rice, Charlotte Hornets,F
1996-97,SECOND TEAM,Patrick Ewing, New York Knicks,C
1996-97,SECOND TEAM,Gary Payton, Seattle SuperSonics,G
1996-97,SECOND TEAM,Mitch Richmond, Sacramento Kings,G
1996-97,THIRD TEAM,Vin Baker, Milwaukee Bucks,F
1996-97,THIRD TEAM,Anthony Mason, Charlotte Hornets,F
1996-97,THIRD TEAM,Shaquille O’Neal, Los Angeles Lakers,C
1996-97,THIRD TEAM,Anfernee Hardaway, Orlando Magic,G
1996-97,THIRD TEAM,John Stockton, Utah Jazz,G
1995-96,FIRST TEAM,Scottie Pippen, Chicago Bulls,F
1995-96,FIRST TEAM,Karl Malone, Utah Jazz,F
1995-96,FIRST TEAM,David Robinson, San Antonio Spurs,C
1995-96,FIRST TEAM,Michael Jordan, Chicago Bulls,G
