TEAM,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",Season
New York Knicks,82,17,65,48.2,14.7,13.3,11.1,44.0,16.4,14.1,11.7,50.6,2018
Houston Rockets,82,65,17,48.2,17.4,11.5,11.4,40.7,15.8,11.9,11.9,48.0,2017
Toronto Raptors,82,59,23,48.4,17.2,13.0,13.3,48.6,15.0,13.2,11.6,45.3,2017
Golden State Warriors,82,58,24,48.1,17.3,10.3,19.3,44.1,18.5,13.7,14.1,47.4,2017
Boston Celtics,82,55,27,48.3,15.4,12.1,9.5,39.8,15.6,11.2,10.4,43.8,2017
Philadelphia 76ers,82,52,30,48.2,16.9,13.7,11.5,47.2,18.5,12.3,10.3,41.6,2017
Cleveland Cavaliers,82,50,32,48.1,16.1,11.2,12.5,44.2,16.5,12.7,11.3,47.0,2017
Portland Trail Blazers,82,49,33,48.2,14.0,13.5,8.1,43.0,14.9,11.7,11.3,42.1,2017
Indiana Pacers,82,48,34,48.2,18.3,11.9,14.8,44.7,14.8,12.8,12.3,44.8,2017
New Orleans Pelicans,82,48,34,48.7,16.3,11.9,15.3,52.4,17.3,13.8,14.2,47.7,2017
Oklahoma City Thunder,82,48,34,48.4,18.7,15.0,15.2,43.9,14.4,12.8,11.2,43.5,2017
Utah Jazz,82,48,34,48.2,16.8,11.4,10.2,44.4,16.4,10.8,9.5,41.8,2017
Minnesota Timberwolves,82,47,35,48.3,17.8,13.6,9.7,49.2,15.2,13.0,12.9,45.7,2017
San Antonio Spurs,82,47,35,48.1,16.3,13.4,10.3,43.8,15.0,12.2,12.5,44.1,2017
Denver Nuggets,82,46,36,48.5,16.9,14.0,13.4,49.0,18.7,11.2,13.0,47.3,2017
Miami Heat,82,44,38,48.6,16.5,11.3,9.3,44.9,15.6,11.8,11.0,43.5,2017
Milwaukee Bucks,82,44,38,48.4,18.3,10.5,14.6,47.4,15.8,13.0,10.1,47.3,2017
Washington Wizards,82,43,39,48.4,17.2,12.7,11.6,42.3,17.1,13.1,11.0,45.4,2017
LA Clippers,82,42,40,48.1,15.8,13.9,13.3,52.2,17.4,13.2,15.4,44.8,2017
Detroit Pistons,82,39,43,48.3,16.6,12.6,10.8,43.6,14.9,11.2,9.9,43.6,2017
Charlotte Hornets,82,36,46,48.2,16.1,13.1,9.3,43.7,14.8,10.7,10.7,45.2,2017
Los Angeles Lakers,82,35,47,48.5,16.3,14.2,17.5,51.9,18.2,13.5,12.7,49.0,2017
New York Knicks,82,29,53,48.4,15.1,13.4,8.6,46.7,17.4,13.2,11.4,43.4,2017
Brooklyn Nets,82,28,54,48.4,14.2,12.5,10.7,43.8,17.3,13.6,11.6,47.8,2017
Chicago Bulls,82,27,55,48.4,15.0,11.2,11.8,41.8,16.3,11.2,11.3,44.5,2017
Sacramento Kings,82,27,55,48.2,15.2,11.4,10.4,43.5,15.7,11.6,12.3,42.2,2017
Orlando Magic,82,25,57,48.1,15.6,10.9,12.6,45.6,17.0,12.8,12.9,48.3,2017
